success,Crop,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.7384039459150216,0.329549899260996,0.22674904594510895,0.5034642032332564,0.6468842729970327,0.5662337662337662,0.5026889241997056
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.9381342731314012,0.2478153925024089,0.333205136945173,0.6945945945945946,0.8954703832752613,0.7823439878234398,0.8772560883254569
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.8570237688098492,0.25262221776430777,0.15772599538487908,0.5353901996370236,0.8575581395348837,0.659217877094972,0.570198197062195
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.7059687183619497,0.4398739570355043,0.1146750582979811,0.7421383647798742,0.6941176470588235,0.7173252279635257,0.6952788305127422
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.983880330339368,0.4817349770425584,0.21207236484442518,0.527992277992278,0.961335676625659,0.6816199376947041,0.8046543083434365
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.9673088443967739,0.6353436032408959,0.12401157176430488,0.4381800197823937,0.920997920997921,0.593833780160858,0.8332131136557742
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.9007377980885463,0.5945333470613977,0.18055308835502973,0.19973833406018315,0.9178356713426854,0.328080229226361,0.5879739801148514
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.780186627767664,0.37434847927930526,0.16353117819974922,0.0943952802359882,0.803347280334728,0.16893972723273207,0.42117688810033727
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.9512333284474277,0.20893207960589352,0.2465878642841194,0.7365930599369085,0.947261663286004,0.8287488908606921,0.8605820002564841
True,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.201263427734375,0.9914215136997586,0.5536407724615646,0.16546089772931957,0.24279210925644917,0.9937888198757764,0.3902439024390244,0.6155127131653073
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.903095865690174,0.18538510575536232,0.2957990667037516,0.8780918727915195,0.8812056737588653,0.8796460176991151,0.8764624794712036
True,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.850799560546875,0.7618358472509095,0.20083111160123213,0.1763357169952107,0.910828025477707,0.5458015267175572,0.6825775656324583,0.6778682368570512
True,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.850799560546875,0.770412301907064,0.23627231118749015,0.13200237688054078,0.6559139784946236,0.7176470588235294,0.6853932584269663,0.5810425156377862
True,736,"15°10'11.2"" N","107°47'35.5"" E","15°09'50.8"" N","107°47'35.5"" E",62.923004150390625,0.6917551301371135,0.15389043587428333,0.17649180978064125,0.9808743169398907,0.6298245614035087,0.767094017094017,0.6785768564187463
True,735,"15°10'09.9"" N","107°46'04.3"" E","15°09'49.5"" N","107°47'30.7"" E",64.31271362304688,0.9263794210926402,0.26756927757355536,0.1907868015993671,0.31272727272727274,0.9368191721132898,0.46892039258451473,0.7162767947765473
True,737,"15°10'12.5"" N","107°49'06.7"" E","15°10'12.5"" N","107°50'46.2"" E",64.7733154296875,0.5972775525859026,0.2461255086512836,0.17863339853072924,0.4673913043478261,0.07597173144876325,0.13069908814589665,0.2990263463186134
True,739,"15°10'15.0"" N","107°52'09.1"" E","15°09'47.9"" N","107°52'39.3"" E",66.14739990234375,0.9882926542015094,0.462415309507149,0.16315043258848125,0.35240040858018384,0.9504132231404959,0.5141579731743666,0.871789331743962
True,738,"15°10'13.7"" N","107°50'37.9"" E","15°10'06.0"" N","107°51'10.1"" E",70.2027587890625,0.9727735482574623,0.2876022142210593,0.2559924245050529,0.4008733624454148,0.9765957446808511,0.5684210526315789,0.7812602615852755
True,740,"15°10'16.3"" N","107°53'40.3"" E","15°10'09.5"" N","107°55'04.7"" E",65.23260498046875,0.8966178981599462,0.5556977984838924,0.3424343521613881,0.13278008298755187,0.9896907216494846,0.23414634146341465,0.1864820706661828
True,741,"15°10'17.5"" N","107°55'11.5"" E","15°09'19.3"" N","107°55'32.6"" E",65.69064331054688,0.9548516800176481,0.6627678654161118,0.2064448702929192,0.24129353233830847,0.9938524590163934,0.3883106485188151,0.44591413087085924
True,801,"15°08'33.1"" N","107°38'29.7"" E","15°07'55.3"" N","107°39'59.2"" E",66.60287475585938,0.9489268765705334,0.2404802284061373,0.21002037478988764,0.5402439024390244,0.9486081370449678,0.6884226884226884,0.756230768431209
True,802,"15°08'34.5"" N","107°40'00.9"" E","15°07'50.8"" N","107°40'00.9"" E",66.14739990234375,0.9907806838870162,0.22238712823928194,0.22401141614090742,0.5475285171102662,0.993103448275862,0.7058823529411765,0.8885345125485121
True,803,"15°08'35.8"" N","107°41'32.1"" E","15°08'04.8"" N","107°42'43.4"" E",65.23260498046875,0.6033124696050001,0.1973270532662276,0.19364151409069952,0.8263473053892215,0.46779661016949153,0.5974025974025974,0.5115233729645992
True,804,"15°08'37.2"" N","107°43'03.3"" E","15°07'06.0"" N","107°44'40.8"" E",64.7733154296875,0.9603507208330431,0.2579786028855554,0.17713543790400835,0.5560975609756098,0.9644670050761421,0.7054455445544555,0.7955560786082321
True,805,"15°08'38.5"" N","107°44'34.5"" E","15°07'07.3"" N","107°44'41.5"" E",64.7733154296875,0.9561996355298464,0.37788530852086055,0.13911186020549646,0.5324675324675324,0.9575371549893843,0.6843702579666161,0.7310814264373887
True,806,"15°08'39.8"" N","107°46'05.6"" E","15°07'14.4"" N","107°47'45.1"" E",61.05120849609375,0.5340460102507077,0.09849911697042553,0.2404777383220361,0.8990384615384616,0.3762575452716298,0.5304964539007092,0.4850438085034705
True,807,"15°08'41.1"" N","107°47'36.8"" E","15°07'15.7"" N","107°47'48.9"" E",61.989837646484375,0.9489783946432373,0.35304255538964746,0.1733455647449209,0.27908496732026145,0.9552572706935123,0.43196762771876573,0.6649947334562176
True,808,"15°08'42.4"" N","107°49'08.0"" E","15°07'19.9"" N","107°49'21.1"" E",58.67987060546875,0.8767804963529233,0.3154006798497552,0.28133018962807665,0.63125,0.8535211267605634,0.725748502994012,0.7796376997500248
True,810,"15°08'45.0"" N","107°52'10.4"" E","15°08'45.0"" N","107°53'45.9"" E",55.29791259765625,0.6203991153716696,0.12153908403008484,0.24698106312875878,0.782991202346041,0.5585774058577406,0.652014652014652,0.5582192502551017
