success,Crop,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.5845261269162466,0.33091115702236795,0.2461870659841559,0.9824561403508771,0.1661721068249258,0.28426395939086296,0.5913030082368511
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.6236933797909407,0.24305434481531665,0.40553543301349115,1.0,0.2456445993031359,0.39440559440559436,0.6452933797909406
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.5274509803921569,0.4459272544234466,0.10796978544152419,1.0,0.052941176470588235,0.10055865921787709,0.5515509803921569
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.5290191903816883,0.2638152772632954,0.12082195706056446,0.95,0.055232558139534885,0.10439560439560439,0.5218658743158626
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.8946826632209264,0.44283002467871674,0.3251827494494471,0.7446457990115322,0.7943760984182777,0.7687074829931972,0.8438643833838506
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.8792061352729491,0.6103710781764676,0.18618929589556685,0.8608490566037735,0.7588357588357588,0.8066298342541437,0.8563089002548498
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.6060253334792942,0.5911134788692575,0.23065326052197652,0.963302752293578,0.21042084168336672,0.3453947368421052,0.6092358151650417
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.6038410050414103,0.37679327018061903,0.14877490688862097,0.7424242424242424,0.20502092050209206,0.32131147540983607,0.49940405743455046
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.579107505070994,0.2079152570513267,0.275502696621551,1.0,0.15618661257606492,0.27017543859649124,0.5998575050709939
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.6117021276595744,0.18243213692777277,0.34092280106532474,1.0,0.22163120567375885,0.36284470246734396,0.6336021276595741
True,732,"15°10'05.9"" N","107°41'30.7"" E","15°09'42.6"" N","107°42'33.0"" E",58.201263427734375,1.0,0.5212116370198489,0.2698010033517543,0.0,0.0,0.0,1.0
True,733,"15°10'07.2"" N","107°43'01.9"" E","15°09'15.8"" N","107°44'38.4"" E",63.850799560546875,0.5229007633587787,0.20452620507255143,0.12645022531973404,1.0,0.04389312977099236,0.08409506398537477,0.5479007633587785
True,734,"15°10'08.5"" N","107°44'33.1"" E","15°09'17.1"" N","107°44'39.1"" E",63.850799560546875,0.5431372549019607,0.24102619189710614,0.12641142024341734,1.0,0.08431372549019608,0.15551537070524415,0.5664372549019607
True,735,"15°10'09.9"" N","107°46'04.3"" E","15°09'49.5"" N","107°47'30.7"" E",64.31271362304688,0.6803444782168186,0.26165437449516693,0.2359568399003491,0.9322033898305084,0.35947712418300654,0.5188679245283019,0.6689008022390006
True,736,"15°10'11.2"" N","107°47'35.5"" E","15°09'50.8"" N","107°47'35.5"" E",62.923004150390625,0.5350877192982456,0.15498948173903238,0.16206019822194645,1.0,0.06842105263157895,0.12807881773399016,0.5615877192982456
True,737,"15°10'12.5"" N","107°49'06.7"" E","15°10'12.5"" N","107°50'46.2"" E",64.7733154296875,0.5372510789108788,0.24617676166274477,0.1816909450160574,0.9767441860465116,0.07420494699646643,0.13793103448275862,0.44460883058627576
True,738,"15°10'13.7"" N","107°50'37.9"" E","15°10'06.0"" N","107°51'10.1"" E",70.2027587890625,0.6608568685673462,0.28127864585666396,0.3252134314959969,0.8830409356725146,0.32127659574468087,0.4711388455538222,0.6299191995927671
True,739,"15°10'15.0"" N","107°52'09.1"" E","15°09'47.9"" N","107°52'39.3"" E",66.14739990234375,0.9273782949153443,0.4366178316545222,0.24439333724772058,0.751207729468599,0.8567493112947658,0.8005148005148004,0.865213156296402
True,740,"15°10'16.3"" N","107°53'40.3"" E","15°10'09.5"" N","107°55'04.7"" E",65.23260498046875,0.8858718268830628,0.2951365114892282,0.6451708163672716,0.0,0.0,0.0,0.575135553834237
True,741,"15°10'17.5"" N","107°55'11.5"" E","15°09'19.3"" N","107°55'32.6"" E",65.69064331054688,0.9517451640033643,0.4774829940280489,0.3704799727633921,0.0,0.0,0.0,0.6735419630156472
True,801,"15°08'33.1"" N","107°38'29.7"" E","15°07'55.3"" N","107°39'59.2"" E",66.60287475585938,0.5653104925053534,0.24236139377125027,0.19039008906602253,1.0,0.1284796573875803,0.22770398481973433,0.5856104925053534
True,802,"15°08'34.5"" N","107°40'00.9"" E","15°07'50.8"" N","107°40'00.9"" E",66.14739990234375,0.6425287356321839,0.2200899588187359,0.26134201709142124,1.0,0.2827586206896552,0.4408602150537635,0.6580787356321842
True,803,"15°08'35.8"" N","107°41'32.1"" E","15°08'04.8"" N","107°42'43.4"" E",65.23260498046875,0.5313559322033898,0.201333707824093,0.16889183301798186,1.0,0.061016949152542375,0.11501597444089458,0.5590059322033896
True,804,"15°08'37.2"" N","107°43'03.3"" E","15°07'06.0"" N","107°44'40.8"" E",64.7733154296875,0.6123247731093766,0.25473140715211,0.2063679559135273,0.9705882352941176,0.2233502538071066,0.36313617606602483,0.62103495943941
True,805,"15°08'38.5"" N","107°44'34.5"" E","15°07'07.3"" N","107°44'41.5"" E",64.7733154296875,0.5530269760942069,0.3825202572777528,0.12044523024939946,0.98,0.1040339702760085,0.18809980806142035,0.5642386628958886
True,806,"15°08'39.8"" N","107°46'05.6"" E","15°07'14.4"" N","107°47'45.1"" E",61.05120849609375,0.5271629778672032,0.10129888386406846,0.18908278056293046,1.0,0.052313883299798795,0.09942638623326962,0.5506629778672033
True,807,"15°08'41.1"" N","107°47'36.8"" E","15°07'15.7"" N","107°47'48.9"" E",61.989837646484375,0.640314800907032,0.34824298891694183,0.22521686125642976,0.8992805755395683,0.2796420581655481,0.4266211604095563,0.6120339026515962
True,808,"15°08'42.4"" N","107°49'08.0"" E","15°07'19.9"" N","107°49'21.1"" E",58.67987060546875,0.6098591549295774,0.31756088339798844,0.2716812000520175,1.0,0.21690140845070421,0.35648148148148145,0.6237091549295775
True,809,"15°08'43.7"" N","107°50'39.2"" E","15°08'39.8"" N","107°50'39.2"" E",54.808624267578125,0.5363734339994696,0.2552266612368262,0.12008703383546135,0.9696969696969697,0.0706401766004415,0.13168724279835392,0.5431969409506766
True,810,"15°08'45.0"" N","107°52'10.4"" E","15°08'45.0"" N","107°53'45.9"" E",55.29791259765625,0.5794979079497908,0.12053291502952151,0.26578597221343264,1.0,0.15690376569037656,0.27124773960216997,0.5995979079497907
True,811,"15°08'46.2"" N","107°53'41.6"" E","15°08'46.2"" N","107°53'46.7"" E",55.29791259765625,0.5600739371534196,0.08784644696682285,0.3273086222354613,1.0,0.11829944547134935,0.2115702479338843,0.5838739371534198
True,812,"15°08'47.5"" N","107°55'12.8"" E","15°08'45.5"" N","107°55'59.1"" E",53.3310546875,0.5954545454545455,0.1705315974757475,0.2856056907401433,1.0,0.18863636363636363,0.31739961759082214,0.6132545454545457
True,813,"15°08'48.7"" N","107°56'44.0"" E","15°07'23.3"" N","107°58'06.5"" E",69.30996704101562,0.7208815975415664,0.3242719241311636,0.22682300590420656,0.9804878048780488,0.43982494529540483,0.6072507552870091,0.7279575101091024
True,872,"15°07'03.1"" N","107°38'31.1"" E","15°05'37.7"" N","107°38'48.2"" E",66.60287475585938,0.5659337670850692,0.23120201842198795,0.1915109545491987,1.0,0.12989690721649486,0.2299270072992701,0.5803521411578113
True,873,"15°07'04.5"" N","107°40'02.3"" E","15°06'16.9"" N","107°41'17.7"" E",84.72705078125,0.5147392290249433,0.051862708832284284,0.30959890594283895,1.0,0.027210884353741496,0.05298013245033112,0.5361392290249436
True,874,"15°07'05.8"" N","107°41'33.5"" E","15°05'31.7"" N","107°42'05.6"" E",68.41244506835938,0.5353260869565217,0.36038613874997283,0.110836911137985,1.0,0.06884057971014493,0.1288135593220339,0.5609760869565217
True,875,"15°07'07.1"" N","107°43'04.7"" E","15°06'01.1"" N","107°43'22.7"" E",67.9619140625,0.5641342255364761,0.32636531804646296,0.17855270475442134,0.9838709677419355,0.12629399585921325,0.2238532110091743,0.5779565811095704
True,876,"15°07'08.4"" N","107°44'35.8"" E","15°06'40.3"" N","107°44'47.9"" E",66.60287475585938,0.5363836208746293,0.3344280752675504,0.12761926463881157,0.9655172413793104,0.07035175879396985,0.13114754098360656,0.5393447034020676
True,877,"15°07'09.7"" N","107°46'07.0"" E","15°06'19.3"" N","107°47'45.5"" E",61.989837646484375,0.6136342096320357,0.29266460517155185,0.2342673090765891,0.991869918699187,0.2255083179297597,0.36746987951807225,0.6311903170775659
True,878,"15°07'11.0"" N","107°47'38.2"" E","15°05'53.4"" N","107°48'52.6"" E",64.31271362304688,0.6169656796536797,0.2812589997559567,0.18569814612890773,0.925531914893617,0.232,0.37100213219616207,0.5932194170198577
True,879,"15°07'12.3"" N","107°49'09.4"" E","15°06'21.9"" N","107°49'12.4"" E",61.521209716796875,0.5947265625,0.18461350593769293,0.3682221672422776,1.0,0.1875,0.3157894736842105,0.6154765625
True,880,"15°07'13.6"" N","107°50'40.6"" E","15°06'05.7"" N","107°50'42.6"" E",56.2718505859375,0.6585077033983678,0.4584931248699464,0.18679238015286617,0.9343065693430657,0.31527093596059114,0.47145488029465926,0.6467814974939629
True,881,"15°07'14.9"" N","107°52'11.7"" E","15°06'06.0"" N","107°52'11.7"" E",52.83526611328125,0.7612208820639293,0.23409342575046002,0.2954140713991941,0.9322916666666666,0.5203488372093024,0.667910447761194,0.7487693432146227
True,882,"15°07'16.1"" N","107°53'42.9"" E","15°07'16.1"" N","107°55'16.4"" E",47.26788330078125,0.5633802816901409,0.1978084680251224,0.1401869158571346,1.0,0.12206572769953052,0.2175732217573222,0.5726802816901408
True,883,"15°07'17.4"" N","107°55'14.1"" E","15°05'49.1"" N","107°55'35.2"" E",47.782989501953125,0.5291741645234459,0.16036079759063276,0.13013490434929767,0.8636363636363636,0.05571847507331378,0.10468319559228652,0.48127942846324717
True,884,"15°07'18.6"" N","107°56'45.3"" E","15°07'18.6"" N","107°57'54.7"" E",68.86181640625,0.6820199670104115,0.4374366416926261,0.15204873893922094,0.8928571428571429,0.36319612590799033,0.5163511187607573,0.650113167664055
