success,Patch,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.9987348112089586,0.09465205669403076,0.9434003829956055,0.6850715746421268,0.9940652818991098,0.8111380145278451,0.9655895725998732
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.9995721301670595,0.09798044711351395,0.9601791501045227,0.8711656441717791,0.9895470383275261,0.9265905383360521,0.993659364128904
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.9970019008657203,0.06251047551631927,0.9558168053627014,0.6561264822134387,0.9764705882352941,0.7848699763593381,0.9630143808928284
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.9986077761025799,0.07870839536190033,0.9440410137176514,0.6119133574007221,0.9854651162790697,0.755011135857461,0.9653635552903619
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.9771992078623407,0.058795634657144547,0.9716275334358215,0.34529702970297027,0.9806678383128296,0.5107551487414187,0.8089076078628115
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.9395289735661624,0.032900482416152954,0.9820317625999451,0.7721518987341772,0.760914760914761,0.7664921465968587,0.8035233128340913
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.9950717137885918,0.038057733327150345,0.9403080344200134,0.5961538461538461,0.9939879759519038,0.7453042824943652,0.9153009267452709
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.9981053453693912,0.0695277601480484,0.9544047117233276,0.5979643765903307,0.9832635983263598,0.7436708860759493,0.9170652738376023
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.9995956859800753,0.08533013612031937,0.9414207339286804,0.825503355704698,0.9979716024340771,0.903581267217631,0.9925446918980214
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.9998979688472396,0.0804135724902153,0.8929637670516968,0.9541595925297114,0.9964539007092199,0.9748482220294884,0.9982802465114011
