success,Patch,Lat,Lon,lat_hotspot,lon_hotspot,Max_Temp,AUC,MSE,Pearson_Correlation,Precision,Recall,F1,PR_AUC
True,659,"15°11'33.2"" N","107°38'26.9"" E","15°10'42.8"" N","107°39'32.2"" E",63.3875732421875,0.8501507432551819,0.19557958841323853,0.41157013177871704,0.13101354507239607,0.9773519163763066,0.23105436573311366,0.26614198596371735
True,666,"15°11'42.5"" N","107°49'05.3"" E","15°11'05.7"" N","107°49'05.3"" E",70.2027587890625,0.8033617631789709,0.5594751834869385,0.26318615674972534,0.31931818181818183,0.5841995841995842,0.4129316678912564,0.5776195712719532
True,667,"15°11'43.8"" N","107°50'36.5"" E","15°11'05.0"" N","107°50'53.6"" E",71.533203125,0.5328645924624746,0.500545859336853,0.2290513664484024,0.11091234347048301,0.3727454909819639,0.17095588235294118,0.18693835318651914
True,660,"15°11'34.6"" N","107°39'58.1"" E","15°10'01.5"" N","107°39'58.1"" E",57.721160888671875,0.8461693423417839,0.3711966276168823,0.38608431816101074,0.15574912891986062,0.8764705882352941,0.2644970414201183,0.2535269227105793
True,658,"15°11'31.9"" N","107°36'55.7"" E","15°11'06.6"" N","107°37'33.9"" E",59.632720947265625,0.7677773611662584,0.27091750502586365,0.26652592420578003,0.06132075471698113,0.9643916913946587,0.11530956182366509,0.14502135470095417
True,661,"15°11'35.9"" N","107°41'29.3"" E","15°11'15.6"" N","107°42'02.5"" E",58.201263427734375,0.9355803296179265,0.031004462391138077,0.39740192890167236,0.17777777777777778,0.9302325581395349,0.2985074626865672,0.31161396869842084
True,665,"15°11'41.2"" N","107°47'34.1"" E","15°11'19.9"" N","107°47'48.2"" E",74.16378784179688,0.9489609016668844,0.42646557092666626,0.333921879529953,0.31608133086876156,0.9015817223198594,0.468065693430657,0.7556700508133488
True,669,"15°11'46.3"" N","107°53'39.0"" E","15°10'33.6"" N","107°54'46.3"" E",65.23260498046875,0.5523608382603642,0.1575346738100052,0.5684197545051575,0.040034662045060655,0.9665271966527197,0.07688467299051423,0.07390737032456449
True,730,"15°10'03.2"" N","107°38'28.3"" E","15°09'25.4"" N","107°39'50.7"" E",67.9619140625,0.879806082888428,0.16523338854312897,0.6177254319190979,0.16093853271645736,0.9878296146044625,0.2767831770389315,0.2135956747732328
True,731,"15°10'04.5"" N","107°39'59.5"" E","15°08'55.7"" N","107°40'02.5"" E",66.60287475585938,0.962386394042433,0.15957526862621307,0.4472723603248596,0.36185499673416066,0.9822695035460993,0.5288782816229116,0.5361272906961668
